,avg_t,avg_d,avg_s,t_nodes,p
0,201.0,1.0,1.0,10201,0.0
1,205.13333333333333,1.0205638474295193,1.0,10399,0.01
2,210.76666666666668,1.0485903814262028,1.0,19608,0.02
3,214.9,1.0691542288557219,1.0,25730,0.03
4,216.63333333333333,1.0777777777777782,1.0,58012,0.04
5,221.96666666666667,1.1043117744610282,1.0,40396,0.05
6,228.53333333333333,1.1369817578772805,1.0,11002,0.06
7,231.33333333333334,1.1509121061359866,1.0,58579,0.07
8,239.9,1.1935323383084575,1.0,43885,0.08
9,211.56666666666666,1.05257048092869,0.8666666666666667,57172,0.09
10,245.86666666666667,1.223217247097844,1.0,70962,0.1
11,260.1666666666667,1.2943615257048091,1.0,89473,0.11
12,264.8666666666667,1.3177446102819235,1.0,161078,0.12
13,258.06666666666666,1.2839137645107794,0.9666666666666667,66895,0.13
14,276.23333333333335,1.3742951907131016,1.0,140024,0.14
15,278.9,1.387562189054726,0.9666666666666667,99997,0.15
16,298.46666666666664,1.4849087893864015,1.0,196947,0.16
17,240.5,1.196517412935323,0.8,131350,0.17
18,273.53333333333336,1.3608623548922063,0.8666666666666667,115264,0.18
19,300.6,1.4955223880597017,0.9333333333333333,87617,0.19
20,290.7,1.4462686567164182,0.9,115970,0.2
21,288.1,1.4328088620934736,0.8333333333333334,107642,0.21
22,325.93333333333334,1.6209674125268567,0.9,180762,0.22
23,292.6666666666667,1.4560530679933663,0.8,0,0.23
